021-G-0044A,5-Mar-18,,2650,580,620,500,-415,165,105,425,465,305,512,805,200,1090,270,270,795,2,5492500,2520500,100000,90,ai_eq_jed.dgn
021-G-0044B,5-Mar-18,,2650,580,620,500,-415,165,105,425,465,305,512,805,200,1090,270,270,795,2,5492500,2516500,100000,90,ai_eq_jed.dgn
020-P-141A,5-Mar-18,,2200,765,585,325,-345,110,590,375,375,225,360,425,150,710,180,180,545,2,11972000,9342600,100000,90,ai_eq_nsr.dgn
020-P-141B,5-Mar-18,,2200,765,585,325,-345,110,590,375,375,225,360,425,150,710,180,180,545,2,11972000,9339600,100000,90,ai_eq_nsr.dgn
020-P-405A,5-Mar-18,,3250,920,1580,400,-435,150,930,540,540,360,580,720,275,990,320,320,900,2,11936980,9266300,100000,0,ai_eq_nsr.dgn
020-P-405B,5-Mar-18,,3250,920,1580,400,-435,150,930,540,540,360,580,720,275,990,320,320,900,2,11941980,9266300,100000,0,ai_eq_nsr.dgn
98-PBA63411,5-Mar-18,,5700,2050,1350,700,-1300,910,1100,1000,780,530,760,250,550,2490,750,750,1290,2,10092350,10988000,95800,180,ai_eq_png.dgn
24-P9201A,5-Mar-18,,2150,500,700,425,-310,85,645,300,260,140,360,330,100,740,215,215,575,2,1129500,1486500,3600,270,ai_eq_qgx4.dgn
24-P9201B,5-Mar-18,,2150,500,700,425,-310,85,645,300,260,140,360,330,100,740,215,215,575,2,1129500,1490000,3600,270,ai_eq_qgx4.dgn
24-P0704A,5-Mar-18,,2500,550,550,450,-370,100,750,340,340,315,440,375,150,870,245,245,685,2,1081500,1494000,3600,180,ai_eq_qgx4.dgn
24-P0704B,5-Mar-18,,2500,550,550,450,-370,100,750,340,340,315,440,375,150,870,245,245,685,2,1077500,1494000,3600,180,ai_eq_qgx4.dgn
35-P001A,5-Mar-18,,2350,800,800,455,-450,75,750,260,260,200,360,125,100,795,300,300,565,2,1185000,1620500,3500,180,ai_eq_rgx3.dgn
35-P001B,5-Mar-18,,2350,800,800,455,-450,75,750,260,260,200,360,125,100,795,300,300,565,2,1181500,1620500,3500,180,ai_eq_rgx3.dgn
